Timestamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17,Sensor 18,Sensor 19,Sensor 20,Sensor 21,Sensor 22,Sensor 23,Sensor 24,Sensor 25,Sensor 26,Sensor 27,Sensor 28,Sensor 29,Sensor 30,Sensor 31,Sensor 32
2024-02-07 11:47:31,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58
2024-02-07 11:47:32,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58
2024-02-07 11:47:33,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58
2024-02-07 11:47:35,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58
2024-02-07 11:47:36,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58
2024-02-07 11:47:37,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58
2024-02-07 11:47:38,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58
2024-02-07 11:47:39,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58
2024-02-07 11:47:40,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58
2024-02-07 11:47:41,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58,21.94,20.58
