Timestamp,Tipo mensagem,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17,Sensor 18,Sensor 19,Sensor 20,Sensor 21,Sensor 22,Sensor 23,Sensor 24,Sensor 25,Sensor 26,Sensor 27,Sensor 28,Sensor 29,Sensor 30,Sensor 31,Sensor 32,Sensor,Temperatura limite,Limite,Temperatura registrada,Acionou alarme?,Contagem de alarmes consecutivos
2024-03-08 17:59:38,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7.0,Superior,21.94,Não,1
2024-03-08 17:59:38,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.0,Superior,20.58,Não,1
2024-03-08 17:59:38,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7.0,Superior,21.94,Não,1
2024-03-08 17:59:38,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7.0,Superior,20.58,Não,1
2024-03-08 17:59:38,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7.0,Superior,21.94,Não,1
2024-03-08 17:59:38,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7.0,Superior,20.58,Não,1
2024-03-08 17:59:38,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7.0,Superior,21.94,Não,1
2024-03-08 17:59:38,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7.0,Superior,20.58,Não,1
2024-03-08 17:59:38,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7.0,Superior,21.94,Não,1
2024-03-08 17:59:38,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7.0,Superior,20.58,Não,1
2024-03-08 17:59:38,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7.0,Superior,21.94,Não,1
2024-03-08 17:59:38,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,7.0,Superior,20.58,Não,1
2024-03-08 17:59:38,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,7.0,Superior,21.94,Não,1
2024-03-08 17:59:38,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,7.0,Superior,20.58,Não,1
2024-03-08 17:59:38,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7.0,Superior,21.94,Não,1
2024-03-08 17:59:38,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,7.0,Superior,20.58,Não,1
2024-03-08 17:59:38,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,7.0,Superior,21.94,Não,1
2024-03-08 17:59:38,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,7.0,Superior,20.58,Não,1
2024-03-08 17:59:38,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,7.0,Superior,21.94,Não,1
2024-03-08 17:59:38,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,7.0,Superior,20.58,Não,1
2024-03-08 17:59:39,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,7.0,Superior,21.94,Não,1
2024-03-08 17:59:39,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,7.0,Superior,20.58,Não,1
2024-03-08 17:59:39,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,7.0,Superior,21.94,Não,1
2024-03-08 17:59:39,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,7.0,Superior,20.58,Não,1
2024-03-08 17:59:39,Alarme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,7.0,Superior,21.94,Não,1
